datetm,open,high,low,close,volume,amount
2020-06-18T14:08:00+0530,1645.85,1647.9,1645.6,1647.25,52720,0
2020-06-18T14:09:00+0530,1647.25,1647.75,1646,1646.9,53493,0
2020-06-18T14:10:00+0530,1646.9,1647.55,1646.3,1646.7,39661,0
2020-06-18T14:11:00+0530,1646.7,1647.25,1644.65,1645.75,50051,0
2020-06-18T14:12:00+0530,1645.25,1646.45,1645.25,1645.55,50788,0
2020-06-18T14:13:00+0530,1645.55,1645.85,1643.4,1643.7,60843,0
2020-06-18T14:14:00+0530,1644.2,1644.75,1643.6,1644.3,37739,0
2020-06-18T14:15:00+0530,1644.65,1645,1644.1,1644.7,38236,0
2020-06-18T14:16:00+0530,1644.8,1647.5,1644.7,1646.8,58220,0
2020-06-18T14:17:00+0530,1646.8,1648.8,1646.5,1647.75,121172,0
2020-06-18T14:18:00+0530,1647.8,1647.8,1646,1646.5,51933,0
2020-06-18T14:19:00+0530,1646.55,1647,1646,1646,48173,0
2020-06-18T14:20:00+0530,1646.05,1647.5,1645.5,1647.15,33157,0
2020-06-18T14:21:00+0530,1647.15,1647.5,1645.05,1646.3,42323,0
2020-06-18T14:22:00+0530,1645.65,1647.25,1644.55,1646.3,35889,0
2020-06-18T14:23:00+0530,1646.4,1646.65,1645.55,1645.55,25569,0
2020-06-18T14:24:00+0530,1645.95,1647.95,1645.55,1647.5,46098,0
2020-06-18T14:25:00+0530,1647.9,1649.7,1647.45,1649.5,87144,0
2020-06-18T14:26:00+0530,1649.5,1653.55,1649.5,1651.8,396010,0
2020-06-18T14:27:00+0530,1651.35,1652,1650.25,1650.85,91633,0
2020-06-18T14:28:00+0530,1651.05,1651.7,1648,1649.25,95527,0
2020-06-18T14:29:00+0530,1649.35,1649.55,1647,1647.05,74881,0
2020-06-18T14:30:00+0530,1647.75,1649.1,1646.4,1648.95,46085,0
2020-06-18T14:31:00+0530,1649.25,1650.1,1648.55,1648.6,39271,0
2020-06-18T14:32:00+0530,1648.7,1649.25,1648,1648.5,47159,0
2020-06-18T14:33:00+0530,1649.2,1649.45,1648.1,1648.7,25447,0
2020-06-18T14:34:00+0530,1649,1649.2,1647.3,1647.75,34820,0
2020-06-18T14:35:00+0530,1647.75,1648.7,1647.75,1647.8,29127,0
2020-06-18T14:36:00+0530,1647.8,1648,1645.5,1645.9,60981,0
2020-06-18T14:37:00+0530,1645.7,1647.5,1645.4,1646.1,41691,0
2020-06-18T14:38:00+0530,1646.1,1647.25,1645.95,1646.85,39890,0
2020-06-18T14:39:00+0530,1646.8,1648.5,1646.65,1648,37284,0
2020-06-18T14:40:00+0530,1647.95,1649.55,1647.5,1648,49814,0
2020-06-18T14:41:00+0530,1647.9,1649.4,1647.9,1649.05,28551,0
2020-06-18T14:42:00+0530,1649.1,1650,1648.8,1649.4,61721,0
2020-06-18T14:43:00+0530,1649.4,1649.5,1648.25,1648.5,22823,0
2020-06-18T14:44:00+0530,1648.45,1649.4,1647.4,1648,39301,0
2020-06-18T14:45:00+0530,1647.95,1648.4,1647.9,1648.1,21651,0
2020-06-18T14:46:00+0530,1648.1,1648.55,1647,1647,32218,0
2020-06-18T14:47:00+0530,1647,1647.45,1647,1647.3,32875,0
2020-06-18T14:48:00+0530,1648,1649,1647.35,1648.65,27522,0
2020-06-18T14:49:00+0530,1648.9,1650.55,1648.65,1650.4,74806,0
2020-06-18T14:50:00+0530,1650.4,1651,1649.4,1650.4,42725,0
2020-06-18T14:51:00+0530,1650.5,1651,1648.9,1649.7,53935,0
2020-06-18T14:52:00+0530,1649.7,1650,1649.35,1649.85,23733,0
2020-06-18T14:53:00+0530,1649.85,1649.9,1649.05,1649.5,21936,0
2020-06-18T14:54:00+0530,1649.5,1650.65,1649.5,1650.6,23407,0
2020-06-18T14:55:00+0530,1650.6,1650.9,1649.1,1649.3,42166,0
2020-06-18T14:56:00+0530,1649.3,1650,1649,1649.4,28708,0
2020-06-18T14:57:00+0530,1649.15,1649.95,1649.15,1649.5,20336,0
2020-06-18T14:58:00+0530,1649.7,1649.95,1649,1649,26720,0
2020-06-18T14:59:00+0530,1649,1650.95,1649,1650.7,41448,0
2020-06-18T15:00:00+0530,1650.75,1652.05,1649.65,1651,168663,0
2020-06-18T15:01:00+0530,1651.05,1652.95,1650.95,1651.5,103774,0
2020-06-18T15:02:00+0530,1651.6,1652.15,1650.85,1651,62727,0
2020-06-18T15:03:00+0530,1651,1651.1,1649.95,1650.1,64246,0
2020-06-18T15:04:00+0530,1650.1,1652.5,1650,1650.55,66277,0
